Model,BatchSize,LearningRate,Lag,TestLoss,MSE,MAE,R2
LSTMModel,64,0.001,15,0.0028017075201205444,0.002749434,0.021284869,-0.05933427810668945
LSTMModel,64,0.001,15,0.002747831429587677,0.0026957148,0.019610638,-0.03863668441772461
LSTMModel,64,0.001,15,0.0026617973308020737,0.0026118297,0.019068835,-0.006316542625427246
LSTMModel,64,0.001,15,0.0026583004073472694,0.0026100941,0.02143956,-0.005647778511047363
LSTMModel,64,0.001,15,0.0027773906112997793,0.0027313856,0.026771044,-0.05238044261932373
